CONCURSO,F1,F2,F3,F4,F5,F6,FECHA
3553,21,23,45,51,53,56,2022-02-25
3552,2,8,11,35,52,54,2022-02-23
3551,26,37,42,44,54,55,2022-02-20
3550,3,6,7,20,46,56,2022-02-18
3549,4,21,32,40,53,54,2022-02-16
3548,2,14,17,29,47,50,2022-02-13
3547,6,23,31,35,43,55,2022-02-11
3546,10,29,41,51,54,56,2022-02-09
3545,18,25,37,48,52,55,2022-02-06
3544,11,14,20,44,48,53,2022-02-04
3543,1,14,24,43,52,53,2022-02-02
3542,5,31,35,47,48,50,2022-01-30
3541,19,33,34,38,46,49,2022-01-28
3540,3,6,19,25,41,52,2022-01-26
3539,11,19,20,22,32,56,2022-01-23
3538,1,4,7,21,23,29,2022-01-21
3537,6,12,15,32,46,55,2022-01-19
3536,2,11,21,22,30,35,2022-01-16
3535,1,3,24,29,34,50,2022-01-14
3534,6,16,23,34,47,52,2022-01-12
3533,3,10,15,16,38,40,2022-01-09
3532,5,7,17,20,34,41,2022-01-07
3531,1,8,28,31,45,49,2022-01-05
3530,17,21,34,39,41,43,2022-01-02
3529,4,9,17,19,53,56,2021-12-31
3528,1,15,26,38,47,52,2021-12-29
3527,10,20,24,35,55,56,2021-12-26
3526,3,7,36,48,54,55,2021-12-24
3525,10,17,21,31,33,55,2021-12-22
3524,17,33,40,42,46,52,2021-12-19
3523,9,12,25,28,35,53,2021-12-17
3522,6,11,31,40,44,47,2021-12-15
3521,16,32,40,43,50,51,2021-12-12
3520,27,32,40,43,47,55,2021-12-10
3519,3,14,27,29,30,51,2021-12-08
3518,2,6,9,10,20,29,2021-12-05
3517,2,3,16,26,34,56,2021-12-03
3516,15,16,35,42,49,55,2021-12-01
3515,2,22,23,26,46,52,2021-11-28
3514,5,13,16,22,25,41,2021-11-26
3513,19,34,38,44,47,49,2021-11-24
3512,23,25,27,30,35,50,2021-11-21
3511,1,2,6,14,25,52,2021-11-17
3510,8,11,39,43,44,47,2021-11-14
3509,2,3,11,26,37,38,2021-11-10
3508,1,23,24,37,38,41,2021-11-07
3507,17,24,33,36,37,45,2021-11-03
3506,2,10,13,14,18,53,2021-10-31
3505,5,7,30,38,53,56,2021-10-27
3504,1,6,26,35,42,56,2021-10-24
3503,21,24,31,33,39,41,2021-10-20
3502,4,11,34,37,39,56,2021-10-17
3501,5,23,37,45,49,53,2021-10-13
3500,13,22,24,27,38,46,2021-10-10
3499,10,24,27,28,51,55,2021-10-06
3498,24,28,36,50,52,56,2021-10-03
3497,2,18,23,37,43,44,2021-09-29
3496,10,13,14,20,24,33,2021-09-26
3495,2,12,26,41,42,45,2021-09-22
3494,4,15,22,24,32,48,2021-09-19
3493,19,20,22,29,51,52,2021-09-15
3492,24,25,40,45,46,56,2021-09-12
3491,8,9,16,18,36,49,2021-09-08
3490,2,11,25,37,49,50,2021-09-05
3489,10,13,18,24,30,52,2021-09-01
3488,2,25,36,44,46,50,2021-08-29
3487,2,4,7,24,40,50,2021-08-25
3486,3,4,14,19,45,56,2021-08-22
3485,4,14,18,32,50,55,2021-08-18
3484,1,3,23,24,42,46,2021-08-15
3483,1,4,9,14,24,27,2021-08-11
3482,6,16,18,19,26,52,2021-08-08
3481,1,7,16,33,47,56,2021-08-04
3480,3,20,28,37,39,48,2021-08-01
3479,2,5,14,38,39,47,2021-07-28
3478,19,21,33,42,50,55,2021-07-25
3477,18,20,23,26,34,38,2021-07-21
3476,19,27,34,36,43,46,2021-07-18
3475,11,12,27,39,48,55,2021-07-14
3474,7,13,16,23,37,48,2021-07-11
3473,7,10,11,15,41,53,2021-07-07
3472,4,20,26,36,49,51,2021-07-04
3471,5,8,15,23,29,49,2021-06-30
3470,11,19,20,42,47,53,2021-06-27
3469,3,10,15,20,47,53,2021-06-23
3468,9,20,22,31,41,55,2021-06-20
3467,4,12,15,29,30,42,2021-06-16
3466,14,15,32,45,47,56,2021-06-13
3465,4,12,36,40,48,53,2021-06-09
3464,7,16,40,44,45,48,2021-06-06
3463,21,24,28,34,45,48,2021-06-02
3462,7,10,21,25,38,47,2021-05-30
3461,6,7,16,21,32,50,2021-05-26
3460,1,4,34,36,51,54,2021-05-23
3459,17,20,40,42,43,55,2021-05-19
3458,15,32,36,50,51,55,2021-05-16
3457,15,27,28,32,44,51,2021-05-12
3456,17,25,43,44,50,55,2021-05-09
3455,3,21,25,39,43,48,2021-05-05
3454,10,25,26,30,40,46,2021-05-02
3453,3,18,21,27,49,56,2021-04-28
3452,6,13,43,45,49,50,2021-04-25
3451,35,40,43,44,46,47,2021-04-21
3450,14,15,19,40,43,56,2021-04-18
3449,5,11,14,15,41,48,2021-04-14
3448,10,15,18,25,44,54,2021-04-11
3447,2,22,26,28,44,47,2021-04-07
3446,8,9,17,27,45,51,2021-04-04
3445,11,19,21,36,47,53,2021-03-31
3444,8,13,16,17,48,54,2021-03-28
3443,2,18,30,31,45,47,2021-03-24
3442,17,20,32,35,39,54,2021-03-21
3441,2,10,13,14,51,55,2021-03-17
3440,6,7,28,43,44,52,2021-03-14
3439,20,22,25,50,52,55,2021-03-10
3438,2,10,14,15,24,48,2021-03-07
3437,4,10,13,14,22,37,2021-03-03
3436,1,12,22,25,35,51,2021-02-28
3435,18,20,26,32,42,55,2021-02-24
3434,1,10,28,51,54,56,2021-02-21
3433,2,19,38,40,44,54,2021-02-17
3432,4,7,12,25,26,35,2021-02-14
3431,6,14,16,24,27,45,2021-02-10
3430,16,35,37,42,46,48,2021-02-07
3429,6,9,26,51,52,54,2021-02-03
3428,7,18,19,29,40,56,2021-01-31
3427,6,15,17,25,32,41,2021-01-27
3426,10,14,23,29,48,49,2021-01-24
3425,10,12,21,31,34,43,2021-01-20
3424,4,22,29,41,48,51,2021-01-17
3423,8,22,29,34,42,50,2021-01-13
3422,14,24,28,38,44,48,2021-01-10
3421,2,5,6,23,28,50,2021-01-06
3420,3,6,19,46,47,54,2021-01-03
3419,13,24,26,40,43,55,2020-12-30
3418,6,16,32,36,54,55,2020-12-27
3417,10,15,31,33,42,46,2020-12-23
3416,3,5,8,28,52,56,2020-12-20
3415,2,10,16,23,27,30,2020-12-16
3414,12,14,24,32,53,54,2020-12-13
3413,1,5,8,15,25,28,2020-12-09
3412,8,10,16,27,30,56,2020-12-06
3411,4,5,22,28,41,42,2020-12-02
3410,20,31,35,40,42,53,2020-11-29
3409,15,19,20,29,32,41,2020-11-25
3408,2,12,22,25,30,46,2020-11-22
3407,7,25,48,51,54,56,2020-11-18
3406,6,12,44,47,48,56,2020-11-15
3405,1,8,15,40,52,54,2020-11-11
3404,1,16,19,23,24,33,2020-11-08
3403,12,22,23,38,47,54,2020-11-04
3402,7,12,14,39,48,55,2020-11-01
3401,2,3,23,26,29,46,2020-10-28
3400,1,15,33,34,46,47,2020-10-25
3399,13,27,32,43,53,54,2020-10-21
3398,5,14,25,30,40,49,2020-10-18
3397,3,5,8,10,27,42,2020-10-14
3396,9,20,25,40,48,52,2020-10-11
3395,9,27,33,42,49,54,2020-10-07
3394,11,13,20,44,45,49,2020-10-04
3393,14,20,25,29,34,56,2020-09-30
3392,3,4,7,8,25,34,2020-09-27
3391,3,30,32,42,45,55,2020-09-23
3390,16,21,27,29,49,50,2020-09-20
3389,4,16,17,18,36,53,2020-09-16
3388,2,9,20,31,40,54,2020-09-13
3387,3,6,10,26,40,51,2020-09-09
3386,15,20,27,32,35,53,2020-09-06
3385,17,25,35,36,38,49,2020-09-02
3384,7,24,34,40,53,55,2020-08-30
3383,7,18,19,22,27,43,2020-08-26
3382,16,20,23,31,41,42,2020-08-23
3381,18,25,27,31,49,52,2020-08-19
3380,11,19,20,27,44,47,2020-08-16
3379,3,19,32,36,44,47,2020-08-12
3378,2,3,23,44,50,51,2020-08-09
3377,6,7,11,26,35,51,2020-08-05
3376,1,4,5,10,11,43,2020-08-02
3375,13,14,28,36,39,52,2020-07-29
3374,17,20,31,49,50,51,2020-07-26
3373,8,14,30,35,47,52,2020-04-01
3372,6,7,30,35,43,54,2020-03-29
3371,4,8,10,30,55,56,2020-03-25
3370,3,28,34,44,45,52,2020-03-22
3369,2,7,11,14,38,39,2020-03-18
3368,2,10,19,31,35,47,2020-03-15
3367,7,8,12,14,18,41,2020-03-11
3366,10,21,30,41,51,56,2020-03-08
3365,3,16,26,36,42,46,2020-03-04
3364,9,11,43,48,53,56,2020-03-01
3363,20,23,25,50,52,55,2020-02-26
3362,2,8,24,29,31,48,2020-02-23
3361,2,9,22,36,43,46,2020-02-19
3360,10,23,24,38,53,54,2020-02-16
3359,1,5,12,26,30,40,2020-02-12
3358,1,5,13,30,53,56,2020-02-09
3357,4,10,14,25,32,38,2020-02-05
3356,4,22,26,27,38,46,2020-02-02
3355,5,11,28,43,44,55,2020-01-29
3354,15,18,21,24,32,54,2020-01-26
3353,5,10,13,15,23,54,2020-01-22
3352,11,12,43,47,48,49,2020-01-19
3351,1,5,12,21,35,44,2020-01-15
3350,16,31,33,36,49,52,2020-01-12
3349,7,10,13,26,46,53,2020-01-08
3348,1,2,12,22,35,36,2020-01-05
3347,5,17,18,35,40,49,2020-01-01
3346,13,27,32,35,39,47,2019-12-29
3345,13,16,22,32,48,50,2019-12-25
3344,4,12,22,38,39,51,2019-12-22
3343,5,11,20,28,44,56,2019-12-18
3342,2,3,22,47,49,50,2019-12-15
3341,15,20,22,44,48,56,2019-12-11
3340,24,34,41,43,45,50,2019-12-08
3339,2,26,28,44,47,56,2019-12-04
3338,17,29,32,38,43,56,2019-12-01
3337,24,33,38,40,47,48,2019-11-27
3336,7,9,22,27,44,51,2019-11-24
3335,13,15,21,37,46,52,2019-11-20
3334,5,10,14,38,39,40,2019-11-17
3333,16,17,35,42,44,48,2019-11-13
3332,19,22,26,29,41,44,2019-11-10
3331,3,9,15,36,44,52,2019-11-06
3330,9,31,32,34,52,54,2019-11-03
3329,2,11,18,23,34,48,2019-10-30
3328,3,35,36,46,47,52,2019-10-27
3327,5,14,24,50,51,53,2019-10-23
3326,5,9,13,15,38,40,2019-10-20
3325,4,25,26,33,41,52,2019-10-16
3324,7,20,26,41,53,55,2019-10-13
3323,9,13,16,21,30,42,2019-10-09
3322,8,16,25,50,52,56,2019-10-06
3321,2,3,14,23,28,55,2019-10-02
3320,5,13,25,44,50,55,2019-09-29
3319,14,17,27,39,49,54,2019-09-25
3318,6,8,20,26,29,51,2019-09-22
3317,20,35,40,41,43,45,2019-09-18
3316,5,10,20,25,31,44,2019-09-15
3315,17,26,35,45,46,48,2019-09-11
3314,2,8,11,17,43,52,2019-09-08
3313,22,33,39,43,54,55,2019-09-04
3312,5,13,19,20,25,38,2019-09-01
3311,5,10,37,38,40,46,2019-08-28
3310,1,5,28,32,43,52,2019-08-25
3309,16,39,41,47,52,53,2019-08-21
3308,8,15,19,27,34,37,2019-08-18
3307,4,12,20,28,44,46,2019-08-14
3306,10,25,26,28,31,45,2019-08-11
3305,4,15,24,38,55,56,2019-08-07
3304,1,2,4,15,21,43,2019-08-04
3303,6,12,28,44,50,56,2019-07-31
3302,1,5,10,38,48,49,2019-07-28
3301,14,15,34,36,41,44,2019-07-24
3300,3,10,19,29,41,44,2019-07-21
3299,9,16,20,30,39,40,2019-07-17
3298,2,20,34,42,45,50,2019-07-14
3297,7,12,27,31,38,40,2019-07-10
3296,29,33,40,46,48,53,2019-07-07
3295,8,17,28,34,43,48,2019-07-03
3294,22,28,29,31,55,56,2019-06-30
3293,3,4,16,21,25,29,2019-06-26
3292,7,8,11,13,24,37,2019-06-23
3291,4,11,17,41,46,53,2019-06-19
3290,15,22,25,33,34,43,2019-06-16
3289,9,18,20,22,34,41,2019-06-12
3288,1,11,22,26,52,53,2019-06-09
3287,6,13,28,29,31,46,2019-06-05
3286,14,15,17,27,36,40,2019-06-02
3285,17,20,34,39,42,47,2019-05-29
3284,32,41,47,48,51,56,2019-05-26
3283,5,7,41,49,51,55,2019-05-22
3282,5,8,12,21,27,47,2019-05-19
3281,1,8,26,32,42,44,2019-05-15
3280,9,35,42,44,55,56,2019-05-12
3279,5,15,31,40,51,52,2019-05-08
3278,12,16,23,31,33,48,2019-05-05
3277,1,7,33,41,45,55,2019-05-01
3276,1,5,23,29,30,51,2019-04-28
3275,8,26,30,40,45,47,2019-04-24
3274,4,8,9,22,35,52,2019-04-21
3273,6,8,23,28,38,44,2019-04-17
3272,12,21,30,31,45,49,2019-04-14
3271,19,28,34,36,41,42,2019-04-10
3270,6,7,33,34,36,52,2019-04-07
3269,4,7,15,19,42,44,2019-04-03
3268,3,11,16,19,54,56,2019-03-31
3267,8,9,24,40,45,46,2019-03-27
3266,10,14,40,46,53,55,2019-03-24
3265,18,23,32,33,39,40,2019-03-20
3264,12,17,19,26,39,49,2019-03-17
3263,7,25,26,39,40,46,2019-03-13
3262,9,14,17,31,42,50,2019-03-10
3261,6,13,25,37,48,53,2019-03-06
3260,9,19,26,28,34,44,2019-03-03
3259,9,12,31,34,52,56,2019-02-27
3258,1,13,16,20,28,50,2019-02-24
3257,7,8,21,29,40,51,2019-02-20
3256,5,30,32,34,36,43,2019-02-17
3255,4,11,20,36,46,54,2019-02-13
3254,1,4,16,30,33,41,2019-02-10
3253,23,27,39,48,50,54,2019-02-06
3252,2,10,18,46,47,54,2019-02-03
3251,4,14,18,29,36,50,2019-01-30
3250,3,5,6,12,34,43,2019-01-27
3249,4,13,24,26,36,50,2019-01-23
3248,3,33,37,41,50,51,2019-01-20
3247,4,19,30,32,36,48,2019-01-16
3246,4,6,29,40,42,43,2019-01-13
3245,11,24,34,45,50,56,2019-01-09
3244,6,24,28,32,47,52,2019-01-06
3243,5,9,16,22,50,55,2019-01-02
3242,27,28,29,31,42,48,2018-12-30
3241,10,29,37,44,50,52,2018-12-26
3240,5,23,24,39,42,53,2018-12-23
3239,2,22,30,34,40,55,2018-12-19
3238,11,13,19,25,28,49,2018-12-16
3237,12,18,35,39,44,47,2018-12-12
3236,1,10,21,25,30,47,2018-12-09
3235,17,18,22,26,44,54,2018-12-05
3234,2,12,14,21,22,33,2018-12-02
3233,6,24,36,40,47,54,2018-11-28
3232,12,20,29,38,39,47,2018-11-25
3231,1,2,6,25,39,44,2018-11-21
3230,8,24,25,49,51,52,2018-11-18
3229,2,9,11,32,35,46,2018-11-14
3228,8,10,31,38,46,49,2018-11-11
3227,1,10,19,34,49,52,2018-11-07
3226,10,15,22,25,26,34,2018-11-04
3225,7,25,33,35,40,45,2018-10-31
3224,4,11,15,16,41,50,2018-10-28
3223,3,5,10,14,35,54,2018-10-24
3222,16,17,19,24,47,56,2018-10-21
3221,3,6,8,12,47,56,2018-10-17
3220,11,32,33,38,41,50,2018-10-14
3219,17,21,25,27,32,55,2018-10-10
3218,8,9,18,19,45,49,2018-10-07
3217,9,13,15,29,45,46,2018-10-03
3216,34,39,42,44,45,48,2018-09-30
3215,6,21,22,33,34,54,2018-09-26
3214,12,22,48,52,53,55,2018-09-23
3213,16,21,34,43,50,52,2018-09-19
3212,9,14,38,40,51,55,2018-09-16
3211,16,33,40,52,53,54,2018-09-12
3210,15,20,25,39,45,47,2018-09-09
3209,3,18,38,40,42,45,2018-09-05
3208,5,22,29,43,49,50,2018-09-02
3207,5,21,22,25,32,34,2018-08-29
3206,2,3,14,45,53,56,2018-08-26
3205,8,9,20,44,46,53,2018-08-22
3204,5,8,33,39,49,55,2018-08-19
3203,7,13,40,42,44,51,2018-08-15
3202,13,20,22,28,35,56,2018-08-12
3201,3,6,9,32,33,50,2018-08-08
3200,13,16,38,43,50,51,2018-08-05
3199,16,17,19,44,45,53,2018-08-01
3198,4,13,27,31,36,45,2018-07-29
3197,8,20,22,25,35,36,2018-07-25
3196,9,17,25,29,30,56,2018-07-22
3195,6,22,24,33,46,56,2018-07-18
3194,7,8,12,16,32,35,2018-07-15
3193,3,7,13,14,43,44,2018-07-11
3192,23,25,32,47,50,52,2018-07-08
3191,12,14,19,33,46,48,2018-07-04
3190,13,14,16,48,49,56,2018-07-01
3189,11,29,33,40,51,55,2018-06-27
3188,1,6,7,17,18,38,2018-06-24
3187,6,9,19,21,37,44,2018-06-20
3186,1,8,13,35,36,51,2018-06-17
3185,2,3,5,6,12,38,2018-06-13
3184,16,33,35,39,48,50,2018-06-10
3183,13,15,17,23,47,56,2018-06-06
3182,10,15,33,42,43,44,2018-06-03
3181,2,7,18,48,52,55,2018-05-30
3180,6,23,24,32,41,44,2018-05-27
3179,3,8,34,42,49,54,2018-05-23
3178,8,22,23,28,38,45,2018-05-20
3177,10,32,45,46,53,56,2018-05-16
3176,17,18,33,36,50,54,2018-05-13
3175,26,27,34,47,48,52,2018-05-09
3174,13,17,26,35,45,56,2018-05-06
3173,9,13,23,42,44,48,2018-05-02
3172,10,11,12,13,15,23,2018-04-29
3171,4,16,28,33,34,45,2018-04-25
3170,24,30,33,42,44,47,2018-04-22
3169,12,30,36,40,45,48,2018-04-18
3168,9,18,22,24,50,55,2018-04-15
3167,4,37,38,42,50,54,2018-04-11
3166,13,23,26,33,37,56,2018-04-08
3165,16,25,30,36,51,53,2018-04-04
3164,12,28,29,36,50,56,2018-04-01
3163,1,8,21,28,41,42,2018-03-28
3162,8,13,20,27,48,49,2018-03-25
3161,18,20,25,32,43,55,2018-03-21
3160,7,8,20,24,32,41,2018-03-18
3159,25,30,34,42,49,56,2018-03-14
3158,23,29,34,49,52,55,2018-03-11
3157,11,18,21,30,34,40,2018-03-07
3156,6,12,22,23,24,39,2018-03-04
3155,4,9,10,16,35,50,2018-02-28
3154,11,13,28,32,41,51,2018-02-25
3153,16,19,23,40,43,55,2018-02-21
3152,17,26,30,32,48,49,2018-02-18
3151,12,25,30,37,43,53,2018-02-14
3150,3,7,25,28,42,44,2018-02-11
3149,6,8,26,34,35,38,2018-02-07
3148,2,4,7,11,23,46,2018-02-04
3147,14,18,25,35,36,55,2018-01-31
3146,4,13,14,19,30,38,2018-01-28
3145,4,5,10,23,29,35,2018-01-24
3144,16,33,35,42,50,53,2018-01-21
3143,6,24,31,34,40,48,2018-01-17
3142,9,14,15,51,53,54,2018-01-14
3141,4,8,11,23,45,49,2018-01-10
3140,17,19,27,39,41,45,2018-01-07
3139,9,12,17,22,39,41,2018-01-03
3138,9,35,39,43,55,56,2017-12-31
3137,6,8,25,26,27,35,2017-12-27
3136,20,30,38,39,43,53,2017-12-24
3135,3,19,20,43,46,49,2017-12-20
3134,8,11,30,32,42,52,2017-12-17
3133,21,23,29,31,32,47,2017-12-13
3132,9,18,24,29,30,52,2017-12-10
3131,33,34,35,40,44,52,2017-12-06
3130,2,3,11,20,23,34,2017-12-03
3129,2,15,32,35,45,54,2017-11-29
3128,1,2,17,49,51,56,2017-11-26
3127,37,40,42,44,48,50,2017-11-22
3126,4,8,31,41,47,50,2017-11-19
3125,7,10,20,38,48,50,2017-11-15
3124,12,16,28,46,51,55,2017-11-12
3123,24,38,43,46,50,52,2017-11-08
3122,9,23,25,32,40,54,2017-11-05
3121,2,13,15,20,32,35,2017-11-01
3120,1,3,11,12,21,31,2017-10-29
3119,1,7,11,17,41,45,2017-10-25
3118,7,12,17,20,21,22,2017-10-22
3117,3,6,12,41,46,47,2017-10-18
3116,2,28,30,39,43,54,2017-10-15
3115,9,17,41,42,45,49,2017-10-11
3114,10,14,21,35,40,44,2017-10-08
3113,10,18,20,22,26,40,2017-10-04
3112,19,22,25,42,50,55,2017-10-01
3111,3,8,26,35,50,53,2017-09-27
3110,9,13,20,49,52,53,2017-09-24
3109,10,27,31,37,41,48,2017-09-20
3108,19,22,26,30,42,49,2017-09-17
3107,9,12,20,46,50,55,2017-09-13
3106,1,9,16,28,29,47,2017-09-10
3105,7,10,18,30,33,47,2017-09-06
3104,12,13,36,38,39,45,2017-09-03
3103,4,6,8,11,12,34,2017-08-30
3102,1,9,24,34,46,50,2017-08-27
3101,1,2,5,14,15,24,2017-08-23
3100,2,19,29,42,50,53,2017-08-20
3099,7,10,17,18,32,48,2017-08-16
3098,16,24,25,28,37,44,2017-08-13
3097,14,25,30,38,40,43,2017-08-09
3096,8,10,23,25,30,47,2017-08-06
3095,5,24,26,29,45,47,2017-08-02
3094,20,25,36,45,46,52,2017-07-30
3093,3,4,10,25,26,52,2017-07-26
3092,18,32,36,42,47,48,2017-07-23
3091,7,14,16,34,38,53,2017-07-19
3090,3,4,23,30,38,55,2017-07-16
3089,1,9,25,33,42,43,2017-07-12
3088,7,19,21,28,50,53,2017-07-09
3087,18,25,29,32,37,48,2017-07-05
3086,19,22,29,30,53,55,2017-07-02
3085,2,7,16,19,26,35,2017-06-28
3084,14,24,30,41,51,56,2017-06-25
3083,17,18,27,32,52,53,2017-06-21
3082,1,3,5,14,22,31,2017-06-18
3081,8,9,13,34,36,39,2017-06-14
3080,10,35,41,46,53,56,2017-06-11
3079,2,7,26,37,47,50,2017-06-07
3078,6,7,14,20,36,40,2017-06-04
3077,25,28,30,43,47,53,2017-05-31
3076,13,15,17,27,52,54,2017-05-28
3075,2,21,25,32,48,52,2017-05-24
3074,19,29,34,36,41,51,2017-05-21
3073,10,12,21,48,51,56,2017-05-17
3072,10,20,30,35,39,49,2017-05-14
3071,17,21,26,40,43,52,2017-05-10
3070,1,4,10,32,45,47,2017-05-07
3069,19,20,27,30,46,56,2017-05-03
3068,11,27,30,32,45,55,2017-04-30
3067,7,8,21,24,29,42,2017-04-26
3066,2,3,4,7,40,56,2017-04-23
3065,6,14,21,24,38,41,2017-04-19
3064,4,5,7,15,21,55,2017-04-16
3063,6,9,16,27,43,53,2017-04-12
3062,4,13,17,23,39,45,2017-04-09
3061,8,16,33,39,43,44,2017-04-05
3060,4,16,22,34,40,48,2017-04-02
3059,4,7,10,24,28,33,2017-03-29
3058,1,6,11,15,33,49,2017-03-26
3057,3,5,14,16,30,53,2017-03-22
3056,24,26,28,31,52,56,2017-03-19
3055,3,14,19,20,31,34,2017-03-15
3054,2,17,30,45,54,56,2017-03-12
3053,11,12,22,34,43,49,2017-03-08
3052,5,8,27,28,31,40,2017-03-05
3051,6,8,21,32,41,45,2017-03-01
3050,2,10,17,22,23,29,2017-02-26
3049,19,20,33,40,49,50,2017-02-22
3048,9,16,19,37,46,49,2017-02-19
3047,7,9,10,23,32,54,2017-02-15
3046,12,13,14,17,24,53,2017-02-12
3045,1,6,17,50,54,56,2017-02-08
3044,22,23,30,44,48,50,2017-02-05
3043,1,21,22,34,37,46,2017-02-01
3042,2,11,14,25,41,46,2017-01-29
3041,5,10,29,35,38,46,2017-01-25
3040,7,19,21,28,35,46,2017-01-22
3039,1,32,33,37,42,45,2017-01-18
3038,2,3,32,52,53,54,2017-01-15
3037,12,22,25,28,40,53,2017-01-11
3036,1,22,23,35,39,44,2017-01-08
3035,3,12,16,26,29,46,2017-01-04
3034,16,32,35,36,44,50,2017-01-01
3033,9,22,27,39,46,48,2016-12-28
3032,26,29,30,35,52,54,2016-12-25
3031,2,4,7,26,38,47,2016-12-21
3030,16,23,35,37,53,55,2016-12-18
3029,3,20,29,40,49,50,2016-12-14
3028,24,26,30,48,53,56,2016-12-11
3027,1,4,18,36,37,55,2016-12-07
3026,17,18,19,27,29,49,2016-12-04
3025,7,15,22,28,40,49,2016-11-30
3024,14,26,28,44,50,51,2016-11-27
3023,2,13,44,51,53,55,2016-11-23
3022,14,16,17,21,30,44,2016-11-20
3021,17,20,21,30,43,46,2016-11-16
3020,25,39,41,43,48,55,2016-11-13
3019,6,21,25,32,40,42,2016-11-09
3018,29,30,43,44,52,55,2016-11-06
3017,16,20,21,23,24,56,2016-11-02
3016,6,9,34,40,46,56,2016-10-30
3015,3,5,14,29,30,56,2016-10-26
3014,4,12,18,25,41,48,2016-10-23
3013,15,16,20,26,28,39,2016-10-19
3012,6,23,28,32,52,53,2016-10-16
3011,9,22,31,35,37,52,2016-10-12
3010,22,25,33,42,54,56,2016-10-09
3009,11,13,14,18,22,53,2016-10-05
3008,6,8,9,19,32,34,2016-10-02
3007,24,32,43,48,50,54,2016-09-28
3006,4,39,44,49,51,56,2016-09-25
3005,16,25,32,40,43,54,2016-09-21
3004,6,26,30,40,47,49,2016-09-18
3003,4,9,15,22,33,35,2016-09-14
3002,16,23,33,35,46,55,2016-09-11
3001,4,7,20,26,45,51,2016-09-07
3000,24,28,33,46,50,51,2016-09-04
2999,1,4,5,28,30,53,2016-08-31
2998,5,25,28,36,40,48,2016-08-28
2997,1,11,18,42,51,55,2016-08-24
2996,19,22,25,31,43,44,2016-08-21
2995,2,14,18,21,46,49,2016-08-17
2994,6,9,19,20,32,49,2016-08-14
2993,12,23,30,36,46,53,2016-08-10
2992,2,9,36,45,50,54,2016-08-07
2991,10,19,21,32,44,52,2016-08-03
2990,16,21,37,41,45,46,2016-07-31
2989,9,24,30,41,43,53,2016-07-27
2988,8,33,40,43,44,53,2016-07-24
2987,25,39,44,46,50,55,2016-07-20
2986,23,26,38,47,50,55,2016-07-17
2985,3,6,23,24,39,45,2016-07-13
2984,4,10,19,22,40,49,2016-07-10
2983,3,5,11,18,36,54,2016-07-06
2982,2,11,22,43,50,55,2016-07-03
2981,6,20,21,39,44,56,2016-06-29
2980,4,8,23,29,44,55,2016-06-26
2979,10,12,14,17,47,52,2016-06-22
2978,2,18,42,45,48,54,2016-06-19
2977,1,10,12,19,31,56,2016-06-15
2976,7,16,17,25,37,54,2016-06-12
2975,14,23,25,29,41,43,2016-06-08
2974,6,12,29,30,39,55,2016-06-05
2973,5,11,15,17,47,48,2016-06-01
2972,27,31,35,40,44,54,2016-05-29
2971,7,9,23,40,49,52,2016-05-25
2970,5,12,38,40,47,56,2016-05-22
2969,2,10,13,22,35,44,2016-05-18
2968,13,14,27,30,41,44,2016-05-15
2967,6,7,28,29,36,48,2016-05-11
2966,1,3,16,22,31,46,2016-05-08
2965,2,6,26,31,35,52,2016-05-04
2964,2,5,30,36,42,55,2016-05-01
