CONCURSO,F1,F2,F3,F4,F5,F6,FECHA
2963,11,16,19,35,42,46,2016-04-27
2962,1,10,14,16,34,48,2016-04-24
2961,9,16,25,38,46,56,2016-04-20
2960,16,20,24,26,40,44,2016-04-17
2959,10,18,27,36,42,49,2016-04-13
2958,1,21,24,39,40,51,2016-04-10
2957,3,7,14,23,33,46,2016-04-06
2956,6,15,17,23,35,54,2016-04-03
2955,4,8,34,40,50,56,2016-03-30
2954,17,23,24,26,36,51,2016-03-27
2953,8,12,25,30,34,42,2016-03-23
2952,1,10,13,28,29,40,2016-03-20
2951,16,21,25,27,47,54,2016-03-16
2950,4,5,20,24,32,42,2016-03-13
2949,17,19,38,43,51,55,2016-03-09
2948,5,18,29,41,48,49,2016-03-06
2947,2,15,32,34,52,56,2016-03-02
2946,2,12,21,30,33,54,2016-02-28
2945,6,21,22,34,41,52,2016-02-24
2944,7,8,13,41,52,53,2016-02-21
2943,4,7,32,35,49,56,2016-02-17
2942,1,16,22,41,42,49,2016-02-14
2941,24,25,26,38,47,56,2016-02-10
2940,31,38,40,41,46,53,2016-02-07
2939,9,30,39,40,48,54,2016-02-03
2938,12,21,26,30,38,43,2016-01-31
2937,1,14,29,30,31,56,2016-01-27
2936,16,18,24,25,30,49,2016-01-24
2935,13,20,23,38,44,51,2016-01-20
2934,6,11,12,19,32,38,2016-01-17
2933,5,31,35,43,46,55,2016-01-13
2932,20,26,28,39,49,51,2016-01-10
2931,2,20,29,35,37,47,2016-01-06
2930,5,13,30,32,44,54,2016-01-03
2929,5,7,11,36,47,55,2015-12-30
2928,2,19,29,37,50,54,2015-12-27
2927,2,7,30,40,43,53,2015-12-23
2926,6,23,31,38,45,51,2015-12-20
2925,5,14,21,31,41,48,2015-12-16
2924,14,15,29,35,42,56,2015-12-13
2923,15,16,20,36,43,54,2015-12-09
2922,4,10,21,29,51,56,2015-12-06
2921,1,6,10,24,30,53,2015-12-02
2920,16,18,22,41,44,49,2015-11-29
2919,11,15,26,32,35,47,2015-11-25
2918,8,19,31,38,46,48,2015-11-22
2917,11,14,16,46,50,51,2015-11-18
2916,4,8,13,15,19,24,2015-11-15
2915,5,28,29,30,40,52,2015-11-11
2914,3,8,9,27,37,44,2015-11-08
2913,8,11,24,25,33,56,2015-11-04
2912,4,12,25,34,43,47,2015-11-01
2911,3,30,31,45,53,54,2015-10-28
2910,14,15,21,28,35,39,2015-10-25
2909,2,13,19,27,28,46,2015-10-21
2908,17,18,33,41,44,54,2015-10-18
2907,3,18,29,32,34,38,2015-10-14
2906,8,15,23,38,45,56,2015-10-11
2905,14,16,19,34,40,50,2015-10-07
2904,2,7,10,21,51,53,2015-10-04
2903,9,20,25,27,45,51,2015-09-30
2902,3,27,35,40,47,49,2015-09-27
2901,1,16,18,50,54,56,2015-09-23
2900,20,29,32,36,46,47,2015-09-20
2899,7,8,13,28,37,38,2015-09-16
2898,18,22,28,37,45,56,2015-09-13
2897,14,18,26,29,47,48,2015-09-09
2896,1,18,22,31,33,44,2015-09-06
2895,6,9,10,15,21,37,2015-09-02
2894,6,8,11,21,37,54,2015-08-30
2893,10,14,22,45,50,56,2015-08-26
2892,3,15,33,35,36,46,2015-08-23
2891,5,6,14,27,36,55,2015-08-19
2890,9,10,24,35,38,47,2015-08-16
2889,2,31,37,40,47,48,2015-08-12
2888,4,8,11,39,43,53,2015-08-09
2887,4,9,13,14,38,40,2015-08-05
2886,5,13,20,22,48,56,2015-08-02
2885,4,6,7,16,31,46,2015-07-29
2884,6,8,36,42,52,53,2015-07-26
2883,4,6,22,33,39,55,2015-07-22
2882,3,9,16,20,40,55,2015-07-19
2881,14,20,44,48,49,51,2015-07-15
2880,1,8,27,35,38,45,2015-07-12
2879,20,36,43,47,49,52,2015-07-08
2878,10,18,25,29,38,51,2015-07-05
2877,28,32,34,36,43,49,2015-07-01
2876,14,28,29,36,45,50,2015-06-28
2875,25,32,35,39,41,53,2015-06-24
2874,1,2,18,21,26,46,2015-06-21
2873,6,12,35,43,50,55,2015-06-17
2872,3,8,26,31,40,49,2015-06-14
2871,9,10,14,15,26,52,2015-06-10
2870,3,21,27,28,35,55,2015-06-07
2869,10,22,28,30,43,56,2015-06-03
2868,7,14,18,28,29,33,2015-05-31
2867,14,18,24,27,32,56,2015-05-27
2866,1,3,8,28,29,45,2015-05-24
2865,1,2,14,22,31,45,2015-05-20
2864,1,8,15,39,42,50,2015-05-17
2863,14,30,33,41,44,49,2015-05-13
2862,5,13,42,44,46,48,2015-05-10
2861,9,10,13,21,38,43,2015-05-06
2860,4,25,26,34,39,51,2015-05-03
2859,4,5,23,24,26,38,2015-04-29
2858,3,25,36,50,53,55,2015-04-26
2857,2,3,8,20,51,55,2015-04-22
2856,5,14,18,33,38,54,2015-04-19
2855,12,19,28,34,42,53,2015-04-15
2854,7,9,15,23,42,44,2015-04-12
2853,35,41,43,48,49,52,2015-04-08
2852,5,14,29,30,46,55,2015-04-05
2851,7,8,10,17,26,48,2015-04-01
2850,11,16,41,43,53,56,2015-03-29
2849,13,16,24,41,44,54,2015-03-25
2848,7,12,14,18,34,41,2015-03-22
2847,5,26,39,46,52,53,2015-03-18
2846,10,11,12,39,48,51,2015-03-15
2845,6,12,25,46,47,49,2015-03-11
2844,10,26,28,34,46,55,2015-03-08
2843,11,15,29,31,36,42,2015-03-04
2842,17,18,29,31,32,39,2015-03-01
2841,5,30,33,45,47,48,2015-02-25
2840,14,29,31,45,51,55,2015-02-22
2839,1,6,9,22,29,50,2015-02-18
2838,4,5,7,26,32,53,2015-02-15
2837,22,28,29,41,43,49,2015-02-11
2836,13,15,17,28,35,43,2015-02-08
2835,6,24,40,47,48,51,2015-02-04
2834,23,25,34,37,39,51,2015-02-01
2833,1,17,27,34,42,52,2015-01-28
2832,3,19,29,31,34,37,2015-01-25
2831,7,8,15,36,46,54,2015-01-21
2830,1,2,9,12,37,47,2015-01-18
2829,10,12,19,21,32,43,2015-01-14
2828,23,25,26,32,41,48,2015-01-11
2827,3,5,37,43,44,52,2015-01-07
2826,2,7,12,18,41,54,2015-01-04
2825,17,23,51,53,54,56,2014-12-31
2824,13,19,33,37,53,56,2014-12-28
2823,1,29,32,33,42,44,2014-12-24
2822,4,7,35,42,48,49,2014-12-21
2821,7,9,12,42,44,51,2014-12-17
2820,10,28,34,35,39,55,2014-12-14
2819,2,10,25,33,39,52,2014-12-10
2818,6,10,11,15,40,49,2014-12-07
2817,5,15,22,28,41,51,2014-12-03
2816,10,16,17,24,28,55,2014-11-30
2815,2,26,27,33,39,41,2014-11-26
2814,2,22,26,32,49,51,2014-11-23
2813,3,7,18,29,54,56,2014-11-19
2812,5,14,19,23,37,54,2014-11-16
2811,4,6,19,26,29,36,2014-11-12
2810,14,24,31,49,54,56,2014-11-09
2809,35,38,39,42,46,50,2014-11-05
2808,3,6,13,20,21,44,2014-11-02
2807,3,13,20,33,49,54,2014-10-29
2806,6,12,18,19,29,36,2014-10-26
2805,1,16,27,30,37,44,2014-10-22
2804,6,17,27,38,46,52,2014-10-19
2803,4,10,11,48,49,51,2014-10-15
2802,1,7,31,36,47,54,2014-10-12
2801,4,7,10,12,31,35,2014-10-08
2800,10,22,33,45,54,56,2014-10-05
2799,7,20,31,37,50,56,2014-10-01
2798,2,9,11,20,44,56,2014-09-28
2797,1,6,15,21,25,38,2014-09-24
2796,4,6,10,38,52,53,2014-09-21
2795,8,13,18,21,30,38,2014-09-17
2794,4,24,38,40,53,56,2014-09-14
2793,15,30,37,40,51,56,2014-09-10
2792,2,3,5,23,28,51,2014-09-07
2791,14,21,28,30,34,45,2014-09-03
2790,3,6,10,22,25,27,2014-08-31
2789,12,14,19,27,40,42,2014-08-27
2788,6,13,14,29,36,54,2014-08-24
2787,13,21,35,36,37,53,2014-08-20
2786,10,11,17,29,42,46,2014-08-17
2785,3,6,9,18,19,52,2014-08-13
2784,3,6,7,11,18,36,2014-08-10
2783,5,12,14,39,50,56,2014-08-06
2782,7,19,22,32,48,49,2014-08-03
2781,12,15,24,38,45,49,2014-07-30
2780,4,18,23,45,47,53,2014-07-27
2779,1,22,24,25,26,29,2014-07-23
2778,8,23,28,41,49,53,2014-07-20
2777,7,14,19,31,35,50,2014-07-16
2776,2,4,6,15,35,37,2014-07-13
2775,3,6,38,49,53,54,2014-07-09
2774,1,4,14,33,36,45,2014-07-06
2773,6,16,43,45,47,54,2014-07-02
2772,2,5,10,29,40,48,2014-06-29
2771,6,17,32,49,54,55,2014-06-25
2770,2,4,7,16,52,54,2014-06-22
2769,12,13,31,35,37,49,2014-06-18
2768,20,24,28,30,54,55,2014-06-15
2767,2,25,26,36,37,38,2014-06-11
2766,13,14,22,24,45,51,2014-06-08
2765,9,14,20,21,32,50,2014-06-04
2764,4,11,20,25,27,40,2014-06-01
2763,6,18,24,32,33,38,2014-05-28
2762,4,25,51,53,54,55,2014-05-25
2761,2,29,30,34,48,54,2014-05-21
2760,8,19,28,33,38,45,2014-05-18
2759,4,7,19,20,34,38,2014-05-14
2758,8,10,34,45,49,56,2014-05-11
2757,9,10,17,38,50,55,2014-05-07
2756,6,13,18,35,42,53,2014-05-04
2755,4,24,26,32,38,48,2014-04-30
2754,5,8,16,32,36,39,2014-04-27
2753,3,6,8,10,34,53,2014-04-23
2752,21,37,38,40,41,56,2014-04-20
2751,9,14,22,39,42,52,2014-04-16
2750,4,8,21,31,37,41,2014-04-13
2749,1,26,32,33,47,55,2014-04-09
2748,1,15,20,21,33,48,2014-04-06
2747,4,9,11,24,33,56,2014-04-02
2746,4,29,36,38,49,56,2014-03-30
2745,5,18,20,26,27,43,2014-03-26
2744,7,24,32,34,35,51,2014-03-23
2743,17,24,27,29,32,51,2014-03-19
2742,10,13,16,23,39,42,2014-03-16
2741,9,27,31,33,42,45,2014-03-12
2740,1,17,19,25,36,53,2014-03-09
2739,10,16,28,29,37,48,2014-03-05
2738,4,13,22,29,32,40,2014-03-02
2737,11,34,43,52,54,55,2014-02-26
2736,11,29,32,43,51,52,2014-02-23
2735,6,12,41,46,52,56,2014-02-19
2734,6,8,9,13,29,48,2014-02-16
2733,3,15,16,22,30,34,2014-02-12
2732,11,13,31,39,45,53,2014-02-09
2731,10,34,39,42,44,54,2014-02-05
2730,12,13,31,34,47,50,2014-02-02
2729,8,19,34,39,41,54,2014-01-29
2728,11,15,20,24,47,48,2014-01-26
2727,16,29,38,40,48,49,2014-01-22
2726,3,5,19,28,33,56,2014-01-19
2725,12,19,22,30,39,56,2014-01-15
2724,6,7,12,22,31,45,2014-01-12
2723,11,14,21,27,47,54,2014-01-08
2722,5,14,19,46,54,55,2014-01-05
2721,2,10,24,31,35,49,2014-01-01
2720,3,7,8,17,21,48,2013-12-29
2719,2,7,31,40,53,56,2013-12-25
2718,24,25,30,35,55,56,2013-12-22
2717,7,19,29,34,41,47,2013-12-18
2716,2,18,25,41,42,51,2013-12-15
2715,3,7,30,40,48,54,2013-12-11
2714,28,31,40,49,53,54,2013-12-08
2713,11,14,39,41,47,52,2013-12-04
2712,8,17,34,37,42,43,2013-12-01
2711,15,30,34,35,38,51,2013-11-27
2710,10,13,18,26,28,37,2013-11-24
2709,5,7,20,40,42,48,2013-11-20
2708,7,22,38,42,44,54,2013-11-17
2707,3,7,19,21,25,47,2013-11-13
2706,1,8,26,33,54,55,2013-11-10
2705,5,6,18,41,54,56,2013-11-06
2704,20,27,31,42,53,54,2013-11-03
2703,11,15,17,20,22,54,2013-10-30
2702,18,22,23,26,42,49,2013-10-27
2701,11,15,19,27,36,38,2013-10-23
2700,12,15,27,44,46,48,2013-10-20
2699,23,25,32,43,49,55,2013-10-16
2698,14,21,26,30,35,39,2013-10-13
2697,6,9,23,36,45,49,2013-10-09
2696,12,18,20,23,25,44,2013-10-06
2695,21,26,35,42,44,51,2013-10-02
2694,6,17,26,31,44,48,2013-09-29
2693,8,13,21,32,35,50,2013-09-25
2692,3,7,12,26,32,46,2013-09-22
2691,8,33,42,43,44,56,2013-09-18
2690,11,15,24,36,41,53,2013-09-15
2689,4,6,13,22,26,49,2013-09-11
2688,3,6,12,24,27,44,2013-09-08
2687,7,9,20,24,31,40,2013-09-04
2686,8,18,22,36,39,56,2013-09-01
2685,2,12,24,34,41,47,2013-08-28
2684,16,24,25,39,48,52,2013-08-25
2683,16,24,42,53,54,56,2013-08-21
2682,12,25,26,36,44,50,2013-08-18
2681,11,21,24,40,53,56,2013-08-14
2680,5,14,15,28,41,55,2013-08-11
2679,18,21,35,37,43,44,2013-08-07
2678,7,11,15,16,28,49,2013-08-04
2677,10,20,21,31,33,37,2013-07-31
2676,2,4,17,18,20,40,2013-07-28
2675,7,19,25,38,40,47,2013-07-24
2674,19,34,40,46,48,52,2013-07-21
2673,27,28,33,37,44,47,2013-07-17
2672,30,31,41,43,46,49,2013-07-14
2671,3,4,11,19,45,55,2013-07-10
2670,4,28,30,33,40,56,2013-07-07
2669,29,34,36,50,51,54,2013-07-03
2668,2,7,16,18,28,33,2013-06-30
2667,1,7,9,20,37,41,2013-06-26
2666,2,3,25,28,32,42,2013-06-23
2665,2,5,24,27,35,44,2013-06-19
2664,16,22,27,33,47,55,2013-06-16
2663,3,28,32,34,50,54,2013-06-12
2662,20,27,31,33,35,45,2013-06-09
2661,7,9,25,30,46,47,2013-06-05
2660,7,14,18,27,39,46,2013-06-02
2659,15,16,21,24,33,50,2013-05-29
2658,28,34,45,46,48,55,2013-05-26
2657,12,28,31,33,52,53,2013-05-22
2656,4,8,15,19,27,43,2013-05-19
2655,16,27,35,42,51,54,2013-05-15
2654,1,6,7,9,20,30,2013-05-12
2653,17,23,30,35,48,53,2013-05-08
2652,12,17,20,21,27,41,2013-05-05
2651,2,14,18,25,36,55,2013-05-01
2650,11,12,25,29,38,50,2013-04-28
2649,10,11,18,26,31,45,2013-04-24
2648,5,14,40,44,50,54,2013-04-21
2647,16,23,31,33,36,49,2013-04-17
2646,8,11,17,23,29,40,2013-04-14
2645,6,28,33,37,49,54,2013-04-10
2644,5,11,25,29,45,54,2013-04-07
2643,13,17,18,21,37,45,2013-04-03
2642,4,30,39,47,50,53,2013-03-31
2641,6,12,18,24,32,42,2013-03-27
2640,17,18,24,32,38,42,2013-03-24
2639,27,30,39,42,44,52,2013-03-20
2638,11,15,23,24,35,40,2013-03-17
2637,10,17,33,35,36,38,2013-03-13
2636,4,14,28,30,32,36,2013-03-10
2635,2,6,13,45,46,52,2013-03-06
2634,5,11,19,40,52,55,2013-03-03
2633,2,5,18,19,33,35,2013-02-27
2632,2,27,37,41,48,54,2013-02-24
2631,3,4,17,39,48,53,2013-02-20
2630,1,17,46,48,50,52,2013-02-17
2629,6,20,22,24,44,55,2013-02-13
2628,6,14,32,33,41,50,2013-02-10
2627,15,30,33,37,52,53,2013-02-06
2626,13,22,32,33,44,53,2013-02-03
2625,10,24,26,30,43,54,2013-01-30
2624,4,8,21,35,41,56,2013-01-27
2623,2,8,13,49,50,54,2013-01-23
2622,2,21,37,41,54,56,2013-01-20
2621,1,5,12,13,30,45,2013-01-16
2620,2,6,28,29,39,50,2013-01-13
2619,5,15,24,28,32,51,2013-01-09
2618,4,26,27,31,43,51,2013-01-06
2617,22,23,27,39,49,52,2013-01-02
2616,1,16,29,37,46,52,2012-12-30
2615,3,8,9,21,26,50,2012-12-26
2614,3,22,32,37,50,56,2012-12-23
2613,12,19,33,44,45,54,2012-12-19
2612,8,14,25,35,43,44,2012-12-16
2611,2,3,16,26,37,52,2012-12-12
2610,8,22,32,34,39,56,2012-12-09
2609,16,24,33,36,38,45,2012-12-05
2608,2,6,23,46,48,53,2012-12-02
2607,17,19,32,51,53,54,2012-11-28
2606,16,22,24,31,46,53,2012-11-25
2605,3,8,9,15,26,55,2012-11-21
2604,1,6,7,17,25,52,2012-11-18
2603,5,9,16,19,24,30,2012-11-14
2602,1,2,6,30,34,51,2012-11-11
2601,10,27,47,51,52,53,2012-11-07
2600,4,6,12,51,54,55,2012-11-04
2599,25,26,28,45,48,49,2012-10-31
2598,2,34,40,43,49,54,2012-10-28
2597,4,11,32,38,47,55,2012-10-24
2596,7,9,34,36,38,40,2012-10-21
2595,5,11,23,37,39,54,2012-10-17
2594,5,7,9,23,25,29,2012-10-14
2593,3,19,38,43,46,48,2012-10-10
2592,13,14,16,24,26,36,2012-10-07
2591,10,17,23,39,42,56,2012-10-03
2590,9,12,17,31,41,47,2012-09-30
2589,1,9,12,34,36,44,2012-09-26
2588,7,15,18,45,48,55,2012-09-23
2587,7,27,34,42,46,55,2012-09-19
2586,18,20,26,27,29,49,2012-09-16
2585,7,8,12,21,37,51,2012-09-12
2584,3,4,25,41,42,51,2012-09-09
2583,17,19,21,22,45,49,2012-09-05
2582,4,8,30,39,49,56,2012-09-02
2581,7,9,11,26,50,52,2012-08-29
2580,6,22,24,27,41,54,2012-08-26
2579,8,18,41,42,44,52,2012-08-22
2578,28,32,33,37,50,53,2012-08-19
2577,1,4,11,22,44,52,2012-08-15
2576,9,11,27,40,41,44,2012-08-12
2575,9,14,15,18,35,38,2012-08-08
2574,4,7,10,24,44,54,2012-08-05
2573,23,28,37,41,46,50,2012-08-01
2572,4,12,18,29,45,54,2012-07-29
2571,15,23,25,28,37,45,2012-07-25
2570,5,13,14,28,41,52,2012-07-22
2569,3,7,9,27,45,55,2012-07-18
2568,10,25,29,31,49,55,2012-07-15
2567,14,16,17,31,46,55,2012-07-11
2566,10,16,19,20,40,52,2012-07-08
2565,6,21,35,38,45,54,2012-07-04
2564,1,16,17,32,45,51,2012-07-01
2563,15,20,33,36,40,48,2012-06-27
2562,2,3,12,18,27,50,2012-06-24
2561,16,27,34,42,47,49,2012-06-20
2560,5,11,12,20,42,47,2012-06-17
2559,8,9,16,39,41,42,2012-06-13
2558,6,14,19,37,39,50,2012-06-10
2557,1,17,20,22,28,32,2012-06-06
2556,8,13,21,27,33,36,2012-06-03
2555,5,20,21,39,45,52,2012-05-30
2554,8,18,22,24,32,38,2012-05-27
2553,27,33,41,47,51,54,2012-05-23
2552,4,7,19,24,31,32,2012-05-20
2551,1,5,23,43,54,55,2012-05-16
2550,7,10,31,38,40,45,2012-05-13
2549,2,11,13,20,42,43,2012-05-09
2548,5,12,35,49,52,54,2012-05-06
2547,5,7,21,27,41,54,2012-05-02
2546,8,22,31,34,36,45,2012-04-29
2545,6,15,22,28,36,45,2012-04-25
2544,15,19,36,42,44,50,2012-04-22
2543,2,11,23,27,51,53,2012-04-18
2542,1,4,15,17,32,42,2012-04-15
2541,5,19,22,28,47,52,2012-04-11
2540,1,6,7,23,44,53,2012-04-08
2539,12,13,15,29,48,54,2012-04-04
2538,22,23,24,28,30,42,2012-04-01
2537,4,10,13,32,35,42,2012-03-28
2536,8,24,26,28,51,56,2012-03-25
2535,1,9,20,31,43,56,2012-03-21
2534,1,16,20,31,41,43,2012-03-18
2533,4,8,28,46,53,56,2012-03-14
2532,6,18,23,24,30,54,2012-03-11
2531,1,7,16,35,45,55,2012-03-07
2530,2,11,24,26,48,51,2012-03-04
2529,8,9,12,18,28,42,2012-02-29
2528,5,14,20,30,31,36,2012-02-26
2527,9,11,17,25,45,53,2012-02-22
2526,9,24,27,32,36,52,2012-02-19
2525,5,18,24,35,43,56,2012-02-15
2524,8,9,27,39,47,52,2012-02-12
2523,2,13,40,48,49,56,2012-02-08
2522,4,5,6,24,32,50,2012-02-05
2521,27,30,37,43,44,55,2012-02-01
2520,6,7,24,42,48,50,2012-01-29
2519,20,34,45,48,54,55,2012-01-25
2518,8,24,26,31,33,52,2012-01-22
2517,8,21,28,49,51,55,2012-01-18
2516,1,5,11,19,25,49,2012-01-15
2515,9,11,13,20,22,32,2012-01-11
2514,10,15,17,22,40,45,2012-01-08
2513,13,15,22,23,36,38,2012-01-04
2512,12,28,31,40,52,54,2012-01-01
2511,10,12,20,21,29,54,2011-12-28
2510,19,33,35,41,45,56,2011-12-25
2509,13,23,26,29,35,36,2011-12-21
2508,1,2,12,30,42,53,2011-12-18
2507,2,7,14,22,37,43,2011-12-14
2506,3,9,10,11,29,30,2011-12-11
2505,4,24,32,45,50,56,2011-12-07
2504,5,7,10,14,22,27,2011-12-04
2503,9,23,24,26,43,50,2011-11-30
2502,1,10,28,35,39,51,2011-11-27
2501,20,24,29,47,50,56,2011-11-23
2500,6,11,29,39,43,47,2011-11-20
2499,1,15,20,39,42,49,2011-11-16
2498,5,22,28,30,49,54,2011-11-13
2497,5,10,20,47,51,56,2011-11-09
2496,8,15,20,32,34,45,2011-11-06
2495,3,15,28,40,48,55,2011-11-02
2494,2,19,40,47,48,49,2011-10-30
2493,9,31,40,49,52,55,2011-10-26
2492,7,11,14,50,52,54,2011-10-23
2491,3,8,11,23,46,56,2011-10-19
2490,1,2,22,24,28,29,2011-10-16
2489,24,28,37,47,48,52,2011-10-12
2488,22,35,39,40,49,52,2011-10-09
2487,17,21,38,48,50,52,2011-10-05
2486,4,5,22,32,35,39,2011-10-02
2485,16,27,33,35,37,40,2011-09-28
2484,9,11,38,43,45,54,2011-09-25
2483,4,15,25,32,53,54,2011-09-21
2482,27,31,39,41,49,55,2011-09-18
2481,3,22,26,31,47,56,2011-09-14
2480,1,12,19,30,42,53,2011-09-11
2479,7,16,31,32,42,45,2011-09-07
2478,16,22,24,37,52,53,2011-09-04
2477,3,9,12,16,17,36,2011-08-31
2476,17,21,39,41,44,49,2011-08-28
2475,10,17,25,29,51,56,2011-08-24
2474,3,10,16,33,44,48,2011-08-21
2473,9,16,39,41,44,45,2011-08-17
2472,3,27,33,39,43,51,2011-08-14
2471,7,14,19,34,35,44,2011-08-10
2470,1,7,11,19,35,42,2011-08-07
2469,1,9,14,37,40,41,2011-08-03
2468,7,9,16,24,37,54,2011-07-31
2467,13,18,34,37,46,52,2011-07-27
2466,1,3,11,14,39,41,2011-07-24
2465,3,24,37,45,52,54,2011-07-20
2464,10,13,37,44,46,53,2011-07-17
2463,1,6,12,24,28,33,2011-07-13
2462,2,5,10,15,20,31,2011-07-10
2461,3,6,12,26,34,46,2011-07-06
2460,15,25,32,33,37,45,2011-07-03
2459,4,9,28,40,51,55,2011-06-29
2458,4,13,14,17,23,24,2011-06-26
2457,20,23,32,38,43,44,2011-06-22
2456,1,11,12,19,20,27,2011-06-19
2455,7,12,24,36,46,54,2011-06-15
2454,3,8,18,29,35,52,2011-06-12
2453,9,13,26,37,43,50,2011-06-08
2452,7,18,23,27,45,54,2011-06-05
2451,25,32,39,40,41,54,2011-06-01
2450,2,4,14,24,29,39,2011-05-29
2449,6,9,16,33,45,48,2011-05-25
2448,14,30,34,36,55,56,2011-05-22
2447,2,3,7,22,38,50,2011-05-18
2446,2,15,30,33,42,53,2011-05-15
2445,13,17,41,50,53,55,2011-05-11
2444,20,23,38,49,50,53,2011-05-08
2443,2,13,24,27,28,34,2011-05-04
2442,1,14,19,42,47,52,2011-05-01
2441,4,7,16,42,43,52,2011-04-27
2440,7,10,26,36,48,54,2011-04-24
2439,21,28,31,35,36,41,2011-04-20
2438,1,5,18,34,36,51,2011-04-17
2437,3,4,11,15,52,53,2011-04-13
2436,3,4,12,23,46,49,2011-04-10
2435,3,8,23,31,50,51,2011-04-06
2434,1,19,36,47,49,52,2011-04-03
2433,4,5,18,33,36,49,2011-03-30
2432,13,16,31,40,44,52,2011-03-27
2431,5,8,14,20,27,46,2011-03-23
2430,5,13,24,28,36,38,2011-03-20
2429,11,19,28,31,43,45,2011-03-16
2428,6,7,31,42,50,52,2011-03-13
2427,2,20,21,33,39,47,2011-03-09
2426,6,25,29,38,42,50,2011-03-06
2425,5,12,16,28,31,47,2011-03-02
2424,13,26,33,35,37,49,2011-02-27
2423,2,15,21,24,27,53,2011-02-23
2422,18,21,24,28,37,39,2011-02-20
2421,5,12,14,15,46,50,2011-02-16
2420,19,21,27,30,51,53,2011-02-13
2419,4,21,36,39,42,56,2011-02-09
2418,11,15,22,34,46,48,2011-02-06
2417,10,12,17,27,32,47,2011-02-02
2416,13,18,39,47,50,52,2011-01-30
2415,10,12,22,25,44,53,2011-01-26
2414,10,19,22,28,30,33,2011-01-23
2413,6,9,14,22,35,38,2011-01-19
2412,1,9,43,52,54,55,2011-01-16
2411,4,7,25,42,49,56,2011-01-12
2410,11,15,18,25,34,49,2011-01-09
2409,1,9,27,38,39,56,2011-01-05
2408,6,25,29,33,42,46,2011-01-02
2407,2,4,11,12,33,54,2010-12-29
2406,4,8,11,34,46,52,2010-12-26
2405,19,21,40,44,50,52,2010-12-22
2404,2,4,24,25,43,50,2010-12-19
2403,6,10,16,28,33,48,2010-12-15
2402,18,28,35,36,48,53,2010-12-12
2401,15,19,20,24,46,56,2010-12-08
2400,3,6,7,15,24,31,2010-12-05
2399,3,7,15,22,29,53,2010-12-01
2398,5,22,41,45,55,56,2010-11-28
2397,13,22,29,34,39,49,2010-11-24
2396,3,4,24,35,44,54,2010-11-21
2395,5,27,31,32,42,53,2010-11-17
2394,3,17,28,42,51,53,2010-11-14
2393,9,30,34,38,45,52,2010-11-10
2392,3,21,28,44,48,49,2010-11-07
2391,8,9,13,17,21,39,2010-11-03
2390,5,31,32,40,41,54,2010-10-31
2389,7,11,12,32,48,51,2010-10-27
2388,10,19,26,38,45,49,2010-10-24
2387,3,14,16,19,51,53,2010-10-20
2386,18,21,24,27,47,49,2010-10-17
2385,12,13,30,31,47,52,2010-10-13
2384,5,10,22,25,39,45,2010-10-10
2383,18,26,27,37,42,45,2010-10-06
2382,3,7,19,30,44,56,2010-10-03
2381,21,23,27,29,43,45,2010-09-29
2380,5,6,9,23,27,45,2010-09-26
2379,13,26,28,37,42,53,2010-09-22
2378,11,14,24,26,28,36,2010-09-19
2377,3,8,25,26,30,33,2010-09-15
2376,1,6,21,40,46,54,2010-09-12
2375,3,12,25,30,34,51,2010-09-08
2374,7,14,18,38,43,47,2010-09-05
2373,7,19,29,40,52,55,2010-09-01
2372,1,13,23,31,32,48,2010-08-29
2371,6,8,12,20,23,37,2010-08-25
