CONCURSO,ID,F1,F2,F3,F4,F5,F6,F7,BOLSA,FECHA,PRIMOS,REPETIDOS,MEDIA
1544,1309188,3,23,25,27,29,30,1,5200000,2025-07-05,3,1,22.8
1543,705289,2,7,9,10,24,29,33,5100000,2025-07-01,3,0,13.5
1542,2902541,12,14,15,26,31,37,6,5000000,2025-06-28,2,0,22.5
1541,470606,1,17,19,29,30,38,14,68000000,2025-06-24,3,1,22.3
1540,2052801,6,11,20,30,34,35,5,63500000,2025-06-21,1,2,22.7
1539,2844574,11,16,17,26,28,35,3,58900000,2025-06-17,2,3,22.2
1538,2241346,7,11,13,16,26,33,29,50700000,2025-06-14,3,3,17.7
1537,1526206,4,11,13,33,35,38,24,50700000,2025-06-10,2,2,22.3
1536,1541712,4,12,13,15,29,37,5,46500000,2025-06-07,3,0,18.3
1535,2228495,7,10,16,26,30,35,20,42300000,2025-06-03,1,0,20.7
1534,943040,3,4,5,22,25,27,29,38300000,2025-05-31,2,1,14.3
1533,2648675,9,19,20,22,24,31,26,34700000,2025-05-27,2,1,20.8
1532,384970,1,11,12,19,37,38,4,31300000,2025-05-24,3,0,19.7
1531,1576963,4,14,16,24,28,34,32,28000000,2025-05-20,0,1,20.0
1530,1234785,3,13,14,17,27,29,39,24700000,2025-05-17,4,2,17.2
1529,828402,2,11,15,24,27,29,38,21900000,2025-05-13,3,1,18.0
1528,2974502,13,14,20,21,27,36,28,19000000,2025-05-10,1,2,21.8
1527,2080186,6,13,16,27,34,35,11,16700000,2025-05-06,1,0,21.8
1526,2549944,9,10,30,33,36,39,16,14000000,2025-05-03,0,1,26.2
1525,759021,2,8,16,32,33,37,35,12000000,2025-04-29,2,1,21.3
1524,1635758,4,24,27,28,30,33,1,9900000,2025-04-26,0,0,24.3
1523,234115,1,6,9,12,21,31,14,8000000,2025-04-22,1,0,13.3
1522,1128866,3,8,13,20,23,24,22,6600000,2025-04-19,3,1,15.2
1521,983488,3,4,18,22,29,38,31,5200000,2025-04-15,2,2,19.0
1520,3078851,14,22,28,29,31,33,30,5100000,2025-04-12,2,0,26.2
1519,1682256,5,7,8,13,32,38,10,5000000,2025-04-08,3,0,17.2
1518,1153462,3,9,12,19,20,37,16,6300000,2025-04-05,3,1,16.7
1517,2801587,11,12,21,24,29,33,2,5200000,2025-04-01,2,0,21.7
1516,3194474,18,20,23,25,27,32,10,5100000,2025-03-29,1,1,24.2
1515,2887567,12,13,14,23,28,38,34,5000000,2025-03-25,2,0,21.3
1514,123172,1,3,24,25,29,35,9,9900000,2025-03-22,2,0,19.5
1513,2139795,6,20,21,23,34,37,15,8000000,2025-03-18,2,0,23.5
1512,1722822,5,8,10,19,25,35,31,6400000,2025-03-15,2,1,17.0
1511,1713223,5,7,21,31,36,38,32,5200000,2025-03-11,3,1,23.0
1510,2288166,7,13,22,30,32,39,6,5100000,2025-03-08,2,3,23.8
1509,1794983,5,10,20,30,32,39,36,5000000,2025-03-04,1,2,22.7
1508,763952,2,8,20,30,33,38,23,5000000,2025-03-01,1,1,21.8
1507,2520794,8,23,25,28,34,35,26,12000000,2025-02-25,1,2,25.5
1506,2581687,9,12,18,25,26,35,39,10000000,2025-02-22,0,1,20.8
1505,1988647,6,9,10,29,31,36,18,8000000,2025-02-18,2,0,20.2
1504,3110144,15,19,23,24,25,26,35,6300000,2025-02-15,2,1,22.0
1503,2575988,9,12,15,18,20,36,38,5200000,2025-02-11,0,0,18.3
1502,292530,1,7,17,22,30,34,33,5100000,2025-02-08,2,1,18.5
1501,2789984,11,12,13,28,29,30,1,5000000,2025-02-04,3,0,20.5
1500,2034691,6,10,24,27,32,36,19,5000000,2025-02-01,0,1,22.5
1499,983699,3,4,18,24,28,34,39,8300000,2025-01-28,1,1,18.5
1498,2898468,12,13,23,24,26,27,29,6300000,2025-01-25,2,1,20.8
1497,1058805,3,6,12,19,38,39,14,5200000,2025-01-21,2,1,19.5
1496,1270319,3,15,23,28,32,37,21,5100000,2025-01-18,3,0,23.0
1495,1898019,5,19,20,26,31,33,38,5000000,2025-01-14,3,0,22.3
1494,2387194,8,10,12,13,17,27,24,5100000,2025-01-11,2,1,14.5
1493,387707,1,11,13,20,30,39,36,5000000,2025-01-07,2,0,19.0
1492,728222,2,7,17,21,24,34,28,5100000,2025-01-04,3,0,17.5
1491,1999265,6,9,14,23,27,31,37,5000000,2024-12-31,2,0,18.3
1490,2988435,13,15,24,30,36,37,16,12300000,2024-12-28,2,1,25.8
1489,2337997,7,19,22,24,25,35,29,10300000,2024-12-24,2,2,22.0
1488,1119688,3,8,10,18,22,24,11,8000000,2024-12-21,1,1,14.2
1487,508499,2,3,5,6,7,19,15,6500000,2024-12-17,5,1,7.0
1486,1876632,5,16,17,29,36,39,1,5200000,2024-12-14,3,1,23.7
1485,2697591,10,12,16,25,28,31,19,5100000,2024-12-10,1,1,20.3
1484,1729331,5,8,12,21,24,33,9,5000000,2024-12-07,1,1,17.2
1483,2447545,8,13,14,25,36,39,22,5100000,2024-12-03,1,1,22.5
1482,1109955,3,7,21,25,27,29,38,5000000,2024-11-30,3,0,18.7
1481,2526984,9,10,11,13,31,33,7,5300000,2024-11-26,3,2,17.8
1480,104658,1,3,12,13,22,33,20,5200000,2024-11-23,2,1,14.0
1479,566099,2,4,5,22,29,32,35,5100000,2024-11-19,3,1,15.7
1478,2415527,8,11,15,16,22,37,1,5000000,2024-11-16,2,2,18.2
1477,2491595,8,16,25,30,34,36,17,5000000,2024-11-12,0,0,24.8
1476,1581510,4,14,20,21,23,28,22,15500000,2024-11-09,1,0,18.3
1475,17911,1,2,5,17,18,31,34,13000000,2024-11-05,4,1,12.3
1474,482086,1,19,20,24,32,39,18,10900000,2024-11-02,1,1,22.5
1473,2987286,13,15,22,27,36,39,19,9000000,2024-10-29,1,1,25.3
1472,2160179,7,8,10,14,15,25,26,7500000,2024-10-26,1,0,13.2
1471,3209846,19,20,22,35,36,37,28,6000000,2024-10-22,2,1,28.2
1470,2062486,6,12,15,19,27,32,2,5200000,2024-10-19,1,2,18.5
1469,967449,3,4,11,15,17,19,23,5100000,2024-10-15,4,0,11.5
1468,3147431,16,20,22,27,33,37,1,5000000,2024-10-12,1,1,25.8
1467,1667877,5,6,15,16,24,35,39,6300000,2024-10-08,1,2,16.8
1466,2720329,10,13,24,29,35,36,26,5200000,2024-10-05,2,3,24.5
1465,3124774,15,24,29,32,36,37,35,5100000,2024-10-01,2,2,28.8
1464,2710382,10,13,15,22,23,24,9,5000000,2024-09-28,2,0,17.8
1463,1915041,5,25,27,28,33,38,1,27700000,2024-09-24,1,0,26.0
1462,726767,2,7,16,21,32,35,6,24900000,2024-09-21,2,0,18.8
1461,2407834,8,11,12,13,26,39,6,22500000,2024-09-17,2,3,18.2
1460,314492,1,8,13,14,15,26,2,20000000,2024-09-14,1,2,12.8
1459,1578574,4,14,17,25,26,37,30,17500000,2024-09-10,2,0,20.5
1458,3012775,13,19,20,27,33,36,14,15300000,2024-09-07,2,1,24.7
1457,1361500,4,6,7,8,20,38,5,13000000,2024-09-03,1,1,13.8
1456,2314991,7,16,17,24,32,39,12,11000000,2024-08-31,2,1,22.5
1455,2252436,7,11,19,21,29,30,28,9300000,2024-08-27,4,1,19.5
1454,3181625,17,22,30,31,33,39,32,7500000,2024-08-24,2,2,28.7
1453,2315247,7,16,17,27,38,39,31,5900000,2024-08-20,2,1,24.0
1452,1541346,4,12,13,14,22,38,39,5200000,2024-08-17,1,1,17.2
1451,2939663,12,17,27,29,37,39,2,5100000,2024-08-13,3,1,26.8
1450,1052125,3,6,10,17,26,38,39,5000000,2024-08-10,2,1,16.7
1449,2950094,12,19,25,34,36,38,21,5100000,2024-08-06,1,0,27.3
1448,1203618,3,11,14,27,28,31,1,5000000,2024-08-03,3,0,19.0
1447,3017833,13,20,22,24,25,33,4,5700000,2024-07-30,1,0,22.8
1446,11403,1,2,4,15,16,34,26,5200000,2024-07-27,1,1,12.0
1445,927556,2,21,24,26,28,30,8,5100000,2024-07-23,1,2,21.8
1444,745640,2,8,11,16,30,33,27,5000000,2024-07-20,2,1,16.7
1443,880851,2,14,21,22,24,26,31,17000000,2024-07-16,1,1,18.2
1442,452394,1,15,18,20,26,27,17,14900000,2024-07-13,0,1,17.8
1441,2562716,9,11,17,24,26,35,2,13000000,2024-07-09,2,1,20.3
1440,3175164,17,20,25,28,29,32,26,10900000,2024-07-06,2,1,25.2
1439,699803,2,6,27,28,30,35,10,9000000,2024-07-02,1,1,21.3
1438,1691582,5,7,10,20,30,34,26,7300000,2024-06-29,2,1,17.7
1437,2830611,11,14,23,26,30,39,31,5700000,2024-06-25,2,1,23.8
1436,3124850,15,24,30,32,34,36,1,5200000,2024-06-22,0,0,28.5
1435,837358,2,11,23,25,33,37,29,5100000,2024-06-18,4,0,21.8
1434,1785476,5,10,14,21,32,38,34,5000000,2024-06-15,1,1,20.0
1433,1104409,3,7,16,28,32,34,29,5700000,2024-06-11,2,0,20.0
1432,911513,2,18,19,20,21,29,25,5200000,2024-06-08,3,0,18.2
1431,1533514,4,11,17,26,27,37,12,5100000,2024-06-04,3,1,20.3
1430,1005588,3,5,9,11,14,33,25,5000000,2024-06-01,3,1,12.5
1429,1438284,4,8,9,10,19,20,6,5200000,2024-05-28,1,0,11.7
1428,3106989,15,18,27,28,31,38,37,5100000,2024-05-25,1,0,26.2
1427,2092132,6,14,16,21,23,37,3,5000000,2024-05-21,2,2,19.5
1426,1684295,5,7,8,23,32,37,31,11300000,2024-05-18,4,0,18.7
1425,1145280,3,9,10,11,33,36,28,9500000,2024-05-14,2,1,17.0
1424,386913,1,11,13,16,31,39,22,7900000,2024-05-11,3,1,18.5
1423,695202,2,6,19,24,37,39,38,6000000,2024-05-07,3,1,21.2
1422,1612284,4,17,26,29,34,39,36,5200000,2024-05-04,2,1,24.8
1421,1679499,5,6,26,28,36,38,10,5100000,2024-04-30,1,1,23.2
1420,1371326,4,6,9,11,23,39,32,5000000,2024-04-27,2,1,15.3
1419,1788398,5,10,16,17,20,39,32,5200000,2024-04-23,2,1,17.8
1418,2743320,10,15,24,25,29,34,26,5100000,2024-04-20,1,0,22.8
1417,2574259,9,12,14,19,27,36,3,5000000,2024-04-16,1,2,19.5
1416,1473998,4,9,11,14,20,26,34,5000000,2024-04-13,1,2,14.0
1415,1203789,3,11,14,30,31,39,18,26700000,2024-04-09,3,2,21.3
1414,1961766,6,8,11,13,14,36,21,24300000,2024-04-06,2,1,14.7
1413,2110160,6,15,22,34,37,39,4,22000000,2024-04-02,1,1,25.5
1412,179843,1,5,6,13,14,16,35,19500000,2024-03-30,2,1,9.2
1411,3142954,16,19,21,29,30,37,26,17300000,2024-03-26,3,0,25.3
1410,1927510,6,7,10,14,24,26,18,15300000,2024-03-23,1,1,14.5
1409,3189128,18,19,21,23,24,37,2,13000000,2024-03-19,3,0,23.7
1408,24096,1,2,6,20,28,34,4,11000000,2024-03-16,1,0,15.2
1407,3009249,13,18,22,25,29,33,21,9300000,2024-03-12,2,0,23.3
1406,609212,2,4,20,30,31,32,19,7500000,2024-03-09,2,1,19.8
1405,153526,1,4,10,33,34,36,7,5900000,2024-03-05,0,2,19.7
1404,1951202,6,7,22,30,34,36,2,5200000,2024-03-02,1,2,22.5
1403,2552693,9,11,12,26,30,36,7,5100000,2024-02-27,1,1,20.7
1402,1518550,4,10,23,26,29,32,2,5000000,2024-02-24,2,1,20.7
1401,1475769,4,9,11,22,31,34,23,27500000,2024-02-20,2,1,18.5
1400,158060,1,4,12,17,21,32,7,24900000,2024-02-17,1,1,14.5
1399,448034,1,14,26,31,35,38,2,21900000,2024-02-13,1,2,24.2
1398,2011766,6,9,26,31,34,37,32,19300000,2024-02-10,2,2,23.8
1397,203750,1,5,12,14,26,31,37,17300000,2024-02-06,2,0,14.8
1396,1465516,4,8,20,29,30,35,14,14700000,2024-02-03,1,2,21.0
1395,1740373,5,8,17,29,38,39,19,12700000,2024-01-30,3,1,22.7
1394,1984230,6,8,26,28,31,33,20,10700000,2024-01-27,1,1,22.0
1393,554237,2,3,18,23,28,29,12,8900000,2024-01-23,4,1,17.2
1392,696298,2,6,20,26,30,32,5,7300000,2024-01-20,1,0,19.3
1391,2430991,8,12,14,16,19,29,25,5700000,2024-01-16,2,1,16.3
1390,2230432,7,10,18,19,24,25,13,5200000,2024-01-13,2,1,17.2
1389,2486703,8,16,18,35,37,39,28,5100000,2024-01-09,1,0,25.5
1388,1507186,4,10,14,21,28,38,3,5000000,2024-01-06,0,0,19.2
1387,2631275,9,16,20,32,34,36,27,11300000,2024-01-02,0,0,24.5
1386,433809,1,13,23,24,26,39,7,9300000,2023-12-30,2,0,21.0
1385,2478610,8,15,19,25,33,35,36,7900000,2023-12-26,1,0,22.5
1384,1808906,5,11,16,17,22,37,26,6000000,2023-12-23,4,1,18.0
1383,229345,1,6,8,10,22,33,37,5020000,2023-12-19,0,1,13.3
1382,2090127,6,14,15,19,31,35,20,5010000,2023-12-16,2,2,20.0
1381,568429,2,4,6,10,19,25,12,5000000,2023-12-12,2,2,11.0
1380,910288,2,17,25,28,29,33,1,5700000,2023-12-09,3,2,22.3
1379,1612273,4,17,26,29,32,39,37,5200000,2023-12-05,2,1,24.5
1378,2286048,7,13,20,22,29,37,35,5100000,2023-12-02,4,1,21.3
1377,351985,1,9,17,29,33,38,12,5000000,2023-11-28,2,1,21.2
1376,961266,3,4,9,18,19,31,11,13700000,2023-11-25,3,0,14.0
1375,3158824,16,25,26,29,33,39,27,11900000,2023-11-21,1,1,28.0
1374,129339,1,4,5,17,28,39,33,10000000,2023-11-18,2,0,15.7
1373,914283,2,18,21,29,32,33,31,8300000,2023-11-14,2,1,22.5
1372,2447702,8,13,14,28,29,39,22,6900000,2023-11-11,2,0,21.8
1371,1299378,3,20,21,22,26,32,5,5300000,2023-11-07,1,0,20.7
1370,1410071,4,7,9,23,29,33,14,5200000,2023-11-04,3,2,17.5
1369,1420728,4,7,13,14,24,35,29,5100000,2023-10-31,2,0,16.2
1368,831399,2,11,17,21,31,38,5,5000000,2023-10-28,4,0,20.0
1367,1231144,3,12,22,23,33,37,14,6900000,2023-10-24,3,0,21.7
1366,139756,1,4,7,17,29,30,13,5500000,2023-10-21,3,1,14.7
1365,1644068,5,6,7,26,27,36,3,5200000,2023-10-17,2,1,17.8
1364,1968901,6,8,13,19,21,39,22,5100000,2023-10-14,2,3,17.7
1363,1731462,5,8,13,18,27,39,34,5000000,2023-10-10,2,1,18.3
1362,719708,2,7,13,16,31,33,22,10000000,2023-10-07,4,1,17.0
1361,1932622,6,7,11,23,32,38,13,8500000,2023-10-03,3,1,19.5
1360,2824399,11,14,17,20,27,35,10,6700000,2023-09-30,2,0,20.7
1359,892788,2,15,22,28,37,38,14,5300000,2023-09-26,2,1,23.7
1358,1694959,5,7,11,21,25,37,17,5200000,2023-09-23,4,1,17.7
1357,1157489,3,9,14,15,21,30,34,5100000,2023-09-19,1,1,15.3
1356,195592,1,5,9,22,35,36,21,5000000,2023-09-16,1,1,18.0
1355,2936429,12,17,21,22,24,34,5,8500000,2023-09-12,1,1,21.7
1354,1479302,4,9,12,30,32,39,33,7000000,2023-09-09,0,0,21.0
1353,901241,2,16,22,23,35,36,17,5500000,2023-09-05,2,1,22.3
1352,1264067,3,15,17,21,23,30,36,5200000,2023-09-02,3,1,18.2
1351,2001785,6,9,15,29,33,36,26,5100000,2023-08-29,1,0,21.3
1350,2281786,7,13,16,34,38,39,3,5000000,2023-08-26,2,0,24.5
1349,2877530,11,22,23,26,28,35,7,5500000,2023-08-22,2,1,24.2
1348,940531,3,4,5,11,33,38,30,5200000,2023-08-19,3,0,15.7
1347,1935052,6,7,12,20,24,36,14,5100000,2023-08-15,1,0,17.5
1346,1739905,5,8,17,23,31,39,11,5000000,2023-08-12,4,3,20.5
1345,2525444,8,27,31,32,37,39,14,8700000,2023-08-08,2,1,29.0
1344,524774,2,3,7,30,31,38,23,6900000,2023-08-05,4,1,18.5
1343,1295169,3,19,20,27,28,32,15,5700000,2023-08-01,2,0,21.5
1342,1438195,4,8,9,10,15,17,2,5200000,2023-07-29,1,0,10.5
1341,2993581,13,16,19,26,31,35,25,5100000,2023-07-25,3,1,23.3
1340,642959,2,5,13,17,23,25,15,5000000,2023-07-22,5,2,14.2
1339,1016307,3,5,12,13,24,26,36,7300000,2023-07-18,3,1,13.8
1338,3052723,14,17,18,24,32,34,27,5500000,2023-07-15,1,0,23.2
1337,516385,2,3,6,11,16,26,25,5200000,2023-07-11,3,0,10.7
1336,1348294,4,5,14,27,30,32,12,5100000,2023-07-08,1,1,18.7
1335,1609568,4,17,21,24,29,38,15,5000000,2023-07-04,2,1,22.2
1334,873035,2,14,15,20,26,38,12,15000000,2023-07-01,1,1,19.2
1333,289061,1,7,15,21,28,31,6,13300000,2023-06-27,2,1,17.2
1332,573720,2,4,7,11,17,19,16,11500000,2023-06-24,5,1,10.0
1331,2049857,6,11,18,21,24,27,10,9900000,2023-06-20,1,0,17.8
1330,803398,2,10,13,22,28,38,17,8300000,2023-06-17,2,3,18.8
1329,2387335,8,10,12,13,25,28,18,6900000,2023-06-13,1,3,16.0
1328,752763,2,8,13,28,29,34,21,5500000,2023-06-10,3,0,19.0
1327,1635352,4,24,25,30,32,37,12,5200000,2023-06-06,1,1,25.3
1326,2396429,8,10,15,24,27,28,17,5100000,2023-06-03,0,1,18.7
1325,218089,1,5,19,22,27,33,30,5000000,2023-05-30,2,2,17.8
1324,324184,1,8,17,24,27,28,4,8700000,2023-05-27,1,1,17.5
1323,285512,1,7,13,30,33,34,9,7300000,2023-05-23,2,2,19.7
1322,2148670,6,22,30,31,33,39,3,5900000,2023-05-20,1,1,26.8
1321,1004255,3,5,8,21,30,36,25,5200000,2023-05-16,2,2,17.2
1320,1297048,3,19,23,24,36,38,32,5100000,2023-05-13,3,0,23.8
1319,2329105,7,17,26,27,28,37,12,5000000,2023-05-09,3,2,23.7
1318,2063416,6,12,15,27,28,31,33,14300000,2023-05-06,1,1,19.8
1317,2271715,7,12,20,30,32,34,38,12300000,2023-05-02,1,0,22.5
1316,318213,1,8,14,19,31,39,9,10500000,2023-04-29,2,2,18.7
1315,1448684,4,8,11,25,31,38,36,8900000,2023-04-25,2,1,19.5
1314,2174180,7,8,15,17,20,36,12,7300000,2023-04-22,2,1,17.2
1313,287595,1,7,14,26,31,32,19,5900000,2023-04-18,2,0,18.5
1312,2937248,12,17,22,23,25,39,19,5200000,2023-04-15,2,0,23.0
1311,2778681,10,21,28,33,36,38,30,5100000,2023-04-11,0,1,27.7
1310,2663325,9,23,25,29,31,33,12,5000000,2023-04-08,3,0,25.0
1309,2959703,12,22,26,35,36,39,23,40300000,2023-04-04,0,1,28.3
1308,3103428,15,18,20,25,34,39,31,37300000,2023-04-01,0,0,25.2
1307,2955930,12,21,23,26,35,36,10,34500000,2023-03-28,1,1,25.5
1306,1064523,3,6,14,26,30,39,36,31700000,2023-03-25,1,1,19.7
1305,962830,3,4,10,11,13,22,31,29500000,2023-03-21,3,0,10.5
1304,748375,2,8,12,16,17,38,37,26900000,2023-03-18,2,1,15.5
1303,257099,1,6,17,28,32,33,15,24300000,2023-03-14,1,1,19.5
1302,344090,1,9,13,25,31,35,19,22000000,2023-03-11,2,1,19.0
1301,2103385,6,15,16,26,32,35,22,19700000,2023-03-07,0,1,21.7
1300,2499466,8,17,27,32,34,37,7,17300000,2023-03-04,2,0,25.8
1299,2308750,7,15,19,26,29,38,28,15300000,2023-02-28,3,1,22.3
1298,2070619,6,12,21,23,26,31,37,13300000,2023-02-25,2,3,19.8
1297,1950011,6,7,21,23,29,36,16,11500000,2023-02-21,3,1,20.3
1296,3229655,20,23,24,30,33,35,34,9700000,2023-02-18,1,0,27.5
1295,1139700,3,8,19,25,34,38,35,8300000,2023-02-14,2,2,21.2
1294,2923002,12,15,25,30,32,38,24,6700000,2023-02-11,0,2,25.3
1293,2695496,10,12,15,22,27,34,36,5300000,2023-02-07,0,2,20.0
1292,733645,2,7,22,25,27,31,5,5200000,2023-02-04,3,1,19.0
1291,2608498,9,14,18,19,25,35,4,5100000,2023-01-31,1,0,20.0
1290,528436,2,3,8,21,23,29,19,5000000,2023-01-28,4,3,14.3
1289,835995,2,11,21,24,29,35,28,8700000,2023-01-24,3,1,20.3
1288,1229495,3,12,20,22,29,34,38,7000000,2023-01-21,2,0,20.0
1287,2345499,7,21,23,24,26,28,20,5700000,2023-01-17,2,1,21.5
1286,2454402,8,13,18,28,34,39,5,5200000,2023-01-14,1,1,23.3
1285,3069831,14,19,30,31,35,39,5,5100000,2023-01-10,2,0,28.0
1284,2458452,8,13,23,26,36,38,34,5000000,2023-01-07,2,1,24.0
1283,126277,1,4,5,8,21,30,39,13900000,2023-01-03,1,1,11.5
1282,1133293,3,8,15,20,31,35,28,11700000,2022-12-31,2,1,18.7
1281,99984,1,3,10,19,27,30,17,9700000,2022-12-27,2,1,15.0
1280,952545,3,4,7,17,21,38,16,8300000,2022-12-24,3,2,15.0
1279,1455347,4,8,14,17,33,39,7,7000000,2022-12-20,1,1,19.2
1278,1026502,3,5,16,19,26,39,34,5500000,2022-12-17,3,0,18.0
1277,2015441,6,10,11,25,33,34,30,5200000,2022-12-13,1,0,19.8
1276,12521,1,2,4,19,32,36,31,5100000,2022-12-10,2,0,15.7
1275,2692603,10,12,14,17,26,37,8,5000000,2022-12-06,2,1,19.3
1274,2294045,7,14,16,25,30,38,23,6500000,2022-12-03,1,1,21.7
1273,143993,1,4,8,16,26,36,27,5300000,2022-11-29,0,1,15.2
1272,1072353,3,6,19,26,34,38,17,5200000,2022-11-26,2,0,21.0
1271,3166091,17,18,24,28,30,35,10,5100000,2022-11-22,1,0,25.3
1270,1432923,4,7,19,26,31,34,30,5000000,2022-11-19,3,1,20.2
1269,1215140,3,11,24,32,34,38,22,5100000,2022-11-15,2,1,23.7
1268,1467745,4,8,24,25,26,39,34,5000000,2022-11-12,0,1,21.0
1267,702404,2,7,8,14,15,21,4,13000000,2022-11-08,2,2,11.2
1266,881787,2,14,22,24,26,30,34,10900000,2022-11-05,1,0,19.7
1265,1264421,3,15,17,23,31,36,2,9300000,2022-11-01,4,2,20.8
1264,760490,2,8,17,29,36,39,15,7700000,2022-10-29,3,1,21.8
1263,1307553,3,22,25,30,36,37,13,6500000,2022-10-25,2,0,25.5
1262,272329,1,7,9,21,33,38,22,5300000,2022-10-22,1,2,18.2
1261,2184506,7,8,23,28,31,38,1,5200000,2022-10-18,3,0,22.5
1260,2059084,6,12,13,26,36,37,19,5100000,2022-10-15,2,1,21.7
1259,891887,2,15,21,25,32,36,12,5000000,2022-10-11,1,0,21.8
1258,1335946,4,5,10,18,20,30,9,6700000,2022-10-08,1,1,14.5
1257,1282526,3,17,19,20,21,35,11,5300000,2022-10-04,3,3,19.2
1256,2337728,7,19,21,29,33,35,2,5200000,2022-10-01,3,2,24.0
1255,308126,1,8,10,29,31,33,18,5100000,2022-09-27,2,2,18.7
1254,2481996,8,15,23,33,37,38,27,5000000,2022-09-24,2,1,25.7
1253,1440890,4,8,9,19,24,27,15,32300000,2022-09-20,1,1,15.2
1252,1037010,3,6,7,8,31,37,30,29700000,2022-09-17,4,1,15.3
1251,2024732,6,10,15,21,23,33,13,28000000,2022-09-13,1,0,18.0
1250,543351,2,3,13,14,17,24,19,26000000,2022-09-10,4,0,12.2
1249,1981149,6,8,20,30,31,32,38,23700000,2022-09-06,1,1,21.2
1248,2418324,8,11,16,21,27,38,32,21500000,2022-09-03,1,1,20.2
1247,1252950,3,14,17,18,24,38,8,19700000,2022-08-30,2,1,19.0
1246,1381209,4,6,11,25,26,38,9,17900000,2022-08-27,1,1,18.3
1245,546620,2,3,14,17,30,38,26,16000000,2022-08-23,3,1,17.3
1244,2622192,9,15,20,27,28,38,34,14300000,2022-08-20,0,0,22.8
1243,946203,3,4,6,12,22,24,39,12700000,2022-08-16,1,0,11.8
1242,877708,2,14,18,20,29,37,28,11000000,2022-08-13,3,0,20.0
1241,1967584,6,8,12,34,38,39,29,9300000,2022-08-09,0,1,22.8
